"Summary","Issue Type","Priority","Labels","Description"
"Missing Webhook Replay Protection Allows Repeated Processing of Captured Webhook Payloads","Bug","Medium","backend payments","[SEVERITY & IMPACT]
P2 - Financial Idempotency Flaw.
If Razorpay resends a webhook or an attacker captures and replays a legitimate webhook payload, the server could duplicate rewards or trigger multiple membership extensions.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/payments/service/RazorpayService.java

[TECHNICAL ROOT CAUSE]
Webhook processing does not record incoming webhook event IDs (x-razorpay-event-id) in a processed_events Redis table with duplicate check.

[STEPS TO REPRODUCE]
1. Intercept a legitimate captured payment webhook payload.
2. Re-send the exact payload to the server 10 minutes later with valid signature.
3. Backend processes the event again, triggering duplicate member credits.

[EXPECTED BEHAVIOR]
Duplicate webhook events must be detected via event ID and ignored with HTTP 200 ""Event already processed"".

[ACTUAL BEHAVIOR]
Server executes processing logic on every payload replay.

[PROPOSED RESOLUTION]
Implement an idempotency table storing razorpay_event_id with a 24-hour expiration window in Redis."
"Partner Settlement Calculator Omits Platform Commission Deductions","Bug","High","backend payments","[SEVERITY & IMPACT]
P1 - Financial Accounting Discrepancy.
When generating monthly payouts for gym partners, payout calculations disburse 100% of gross check-in credits without subtracting the platform agreed 15% commission fee.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/partner/service/SettlementService.java

[TECHNICAL ROOT CAUSE]
SettlementService multiplies total check-ins by partner fixed rate without applying (grossAmount * (1.0 - commissionRate)).

[STEPS TO REPRODUCE]
1. Partner has 100 member visits at ₹200/visit = ₹20,000 gross.
2. Run settlement generation.
3. Payout statement generates for full ₹20,000 instead of ₹17,000 (after 15% platform commission).

[EXPECTED BEHAVIOR]
Settlement must cleanly separate Gross Earnings, Platform Commission (15%), TDS (1%), and Net Payable.

[ACTUAL BEHAVIOR]
Gross earnings are mapped directly to net payable.

[PROPOSED RESOLUTION]
Incorporate commissionRate and netPayable calculations in SettlementService before finalizing payout batches."
"Missing Health Indicators in Spring Boot Actuator for PostgreSQL, Redis and SMTP","Improvement","Low","backend infrastructure","[SEVERITY & IMPACT]
P3 - Monitoring & Incident Response.
The /actuator/health endpoint reports status UP even when Redis or SMTP mail host is unreachable, preventing load balancers from detecting partial system degradation.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/resources/application.yml (Lines 220-235)

[TECHNICAL ROOT CAUSE]
management.endpoint.health.show-details: always is omitted, and custom HealthIndicator beans for Redis and external payment APIs are not configured.

[STEPS TO REPRODUCE]
1. Stop local Redis server.
2. Query /actuator/health -> Still reports {""status"": ""UP""}.
3. Application fails at runtime when attempting to read cached data.

[EXPECTED BEHAVIOR]
Health check should report STATUS: DEGRADED or DOWN with component-level status for db, redis, and diskSpace.

[ACTUAL BEHAVIOR]
Generic UP status masks underlying service connection failures.

[PROPOSED RESOLUTION]
Enable management.endpoint.health.show-details: when_authorized and register custom RedisHealthIndicator."
"Missing Database Migration Rollback Scripts (Undo Migrations) in Flyway Repository","Improvement","Low","backend infrastructure","[SEVERITY & IMPACT]
P3 - Deployment Safety & Disaster Recovery.
If a production migration introduces a table locking issue or faulty constraint, engineering has no standardized undo migration scripts to roll back schema changes cleanly.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/resources/db/migration/

[TECHNICAL ROOT CAUSE]
Only forward migrations (V1__, V2__) exist; Flyway undo migrations (U1__, U2__) or documented rollback SQL scripts are absent.

[STEPS TO REPRODUCE]
1. Review src/main/resources/db/migration directory.
2. Only forward migrations are present.
3. In case of deployment failure, rollback requires manual emergency SQL execution.

[EXPECTED BEHAVIOR]
Every major DDL migration should have an accompanying, tested rollback script.

[ACTUAL BEHAVIOR]
No automated or documented rollback migration path exists.

[PROPOSED RESOLUTION]
Establish standard paired migration strategy with documented rollback SQL scripts for all schema changes."
"Missing Validation on User Date of Birth Allows Registration of Unrealistic Ages","Improvement","Low","backend validation","[SEVERITY & IMPACT]
P3 - Data Hygiene & Liability.
Users can input dates of birth resulting in ages of 2 years old or 250 years old without validation triggering, creating invalid health metrics and liability concerns for gym entry.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/users/dto/UpdateProfileRequest.java

[TECHNICAL ROOT CAUSE]
LocalDate dateOfBirth field lacks custom validation verifying age is between 14 and 100 years old (@Past is used without range boundary).

[STEPS TO REPRODUCE]
1. Submit profile update with dateOfBirth = ""2024-01-01"" (age 2) or ""1850-01-01"" (age 176).
2. Server accepts update successfully.

[EXPECTED BEHAVIOR]
Profile update should reject users under 14 (minimum gym age) or over 100 years with HTTP 400.

[ACTUAL BEHAVIOR]
Arbitrary past dates are accepted without age range validation.

[PROPOSED RESOLUTION]
Create custom validation annotation @ValidAge(min = 14, max = 100) on dateOfBirth fields."
"User Account Soft Deletion Leaves Active Subscriptions in Auto-Renewal State","Bug","High","backend memberships","[SEVERITY & IMPACT]
P1 - Erroneous Billing & Customer Complaints.
When a user deletes their account via privacy settings, their recurring membership subscription is not marked CANCELLED, causing external payment recurring mandates to charge users post-deletion.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/users/service/UserService.java

[TECHNICAL ROOT CAUSE]
UserService.deleteAccount() sets user.deleted = true but does not query and cancel active Membership entities or revoke recurring Razorpay subscription tokens.

[STEPS TO REPRODUCE]
1. User with active recurring monthly pass clicks ""Delete Account"".
2. User account is soft-deleted.
3. Next month recurring billing date arrives -> User is charged again for an account they cannot access.

[EXPECTED BEHAVIOR]
Account deletion must immediately cancel all active memberships and terminate payment gateway recurring mandates.

[ACTUAL BEHAVIOR]
Active memberships continue running in database post-account deletion.

[PROPOSED RESOLUTION]
In UserService.deleteAccount(), invoke membershipService.cancelAllActiveMemberships(userId, ""Account deleted by user"")."
"Gym Check-In Frequency Limit Not Enforced Permitting Multiple Daily Entries on Single-Entry Passes","Bug","High","backend bookings","[SEVERITY & IMPACT]
P1 - Revenue Leakage & Commercial Abuse.
Single-Scan Daily Pass holders can visit a gym in the morning and scan into another gym in the evening because the daily visit quota check is not enforced on attendance scan.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/partner/service/AttendanceService.java

[TECHNICAL ROOT CAUSE]
AttendanceService verifies membership status is ACTIVE, but fails to check attendanceRepository.countTodayCheckIns(userId, LocalDate.now()) against plan.maxDailyEntries.

[STEPS TO REPRODUCE]
1. User purchases ""Single-Scan Daily Pass"" (maxDailyEntries = 1).
2. User checks into Gym A at 08:00 AM -> Scan approved.
3. User checks into Gym B at 06:00 PM on the same day -> Scan approved again.

[EXPECTED BEHAVIOR]
Second scan should be rejected with: ""Daily pass limit reached. Upgrade to FitEmpire 360 for dual daily entries.""

[ACTUAL BEHAVIOR]
Unlimited check-ins allowed on single-entry passes.

[PROPOSED RESOLUTION]
Add daily visit quota verification in AttendanceService.validateAndCheckIn()."
"[CR] Network Offline Banner and Connectivity State Listener Missing in Mobile App","Task","Low","mobile connectivity","[SEVERITY & IMPACT]
P3 - Usability Enhancement.
When mobile connection drops in basement gyms, the app displays perpetual spinners or unhandled network errors without clearly communicating offline status to the user.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/_layout.tsx

[TECHNICAL ROOT CAUSE]
The root layout does not incorporate @react-native-community/netinfo listener to broadcast connectivity state to child screens and render an offline warning banner.

[STEPS TO REPRODUCE]
1. Turn off Wi-Fi and mobile data while using FitEmpire mobile app.
2. Tap on any tab or gym card.
3. App spins indefinitely or shows generic unformatted network error dialog.

[EXPECTED BEHAVIOR]
A subtle top banner should appear: ""No Internet Connection - Showing offline cached data.""

[ACTUAL BEHAVIOR]
No connectivity indicator is displayed.

[PROPOSED RESOLUTION]
Install @react-native-community/netinfo and render a persistent OfflineBanner component in root layout."
"[CR] Biometric Authentication (Fingerprint / FaceID) for Fast Pass Check-In","Task","Low","mobile auth","[SEVERITY & IMPACT]
P3 - User Convenience / Speed at Turnstile.
Users arriving at busy turnstiles must unlock phone, open app, and navigate to pass screen instead of using instant biometric pass display.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/(tabs)/index.tsx
- fitempire-mobile/src/app/membership.tsx

[TECHNICAL ROOT CAUSE]
App lacks integration with expo-local-authentication for biometric quick-actions.

[STEPS TO REPRODUCE]
1. Open FitEmpire app.
2. No option to authenticate via FaceID / Fingerprint for fast membership QR reveal.

[EXPECTED BEHAVIOR]
Option in Settings to enable ""Biometric Quick Pass"" to reveal turnstile QR instantly upon app launch.

[ACTUAL BEHAVIOR]
Standard manual navigation required.

[PROPOSED RESOLUTION]
Integrate expo-local-authentication and add quick-access pass widget with biometric lock."
"Deep Link Routing Lacks Query Parameter Sanitization and Fallback Error Screen","Bug","Medium","mobile navigation","[SEVERITY & IMPACT]
P2 - App Crash on Malformed Marketing Deep Links.
Clicking a promotional deep link with missing or malformed gym IDs (e.g. fitempire://gym/invalid-id) causes an unhandled React runtime error instead of routing to Explore Gyms.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/gym/[id].tsx
- fitempire-mobile/app.json

[TECHNICAL ROOT CAUSE]
gym/[id].tsx attempts to call gymsApi.getById(id) without validating that id is a valid UUID, crashing the screen when the API returns 400.

[STEPS TO REPRODUCE]
1. Click link fitempire://gym/promo-special-2026 from SMS or browser.
2. App opens, attempts fetch with non-UUID id, encounters 400 error.
3. Screen displays empty black view with no back button or recovery action.

[EXPECTED BEHAVIOR]
App should validate param and gracefully redirect to Explore Gyms with toast: ""Gym not found.""

[ACTUAL BEHAVIOR]
App lands on an unrecoverable blank screen.

[PROPOSED RESOLUTION]
Add parameter validation and render a NotFoundView with ""Browse Nearby Gyms"" button."
"Hardware Android Back Button Gesture on Nested Modals Closes Entire Application","Bug","Medium","mobile navigation","[SEVERITY & IMPACT]
P2 - Android User Navigation Frustration.
Pressing the physical or gesture back button on Android while a filter or coupon bottom sheet modal is open terminates the entire app instead of closing the modal.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/explore.tsx
- fitempire-mobile/src/components/FilterModal.tsx

[TECHNICAL ROOT CAUSE]
Custom modal components do not bind React Native BackHandler.addEventListener('hardwareBackPress') to dismiss the modal before default back navigation executes.

[STEPS TO REPRODUCE]
1. Open Explore screen on an Android device.
2. Tap ""Filters"" button to open the filter bottom sheet.
3. Press Android hardware/gesture back button.
4. App exits to Android home screen instead of closing filter sheet.

[EXPECTED BEHAVIOR]
Hardware back button should dismiss the open modal, leaving user on Explore screen.

[ACTUAL BEHAVIOR]
App exits completely.

[PROPOSED RESOLUTION]
Add BackHandler hook in modal components to intercept back press and trigger onClose()."
"Profile Avatar Photo Upload Lacks Client-Side Image Compression","Improvement","Low","mobile profile","[SEVERITY & IMPACT]
P3 - Mobile Bandwidth & Upload Speed.
When users select high-resolution camera photos (12MP - 15MB) for their profile picture, the app attempts to upload the raw uncompressed JPEG, causing timeouts on 3G/4G connections.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/edit-profile.tsx

[TECHNICAL ROOT CAUSE]
expo-image-picker returns full-resolution asset without running expo-image-manipulator to resize to max 800x800 and compress quality to 0.7.

[STEPS TO REPRODUCE]
1. Tap Edit Profile -> Change Avatar.
2. Select high-resolution camera photo (10MB+).
3. Tap Save -> Upload progress hangs for 20+ seconds or fails with network timeout.

[EXPECTED BEHAVIOR]
Image should be automatically resized and compressed client-side to < 300KB in under 200ms before upload.

[ACTUAL BEHAVIOR]
Full-resolution 10MB+ file uploaded directly.

[PROPOSED RESOLUTION]
Use manipulateAsync from expo-image-manipulator with resize { width: 800 } and compress: 0.7."
